id	AIM2	ARG1	CD4	CSF1R	F5	IER3	IL18R1	IL1R2	IRAK3	ORM1	RNASE2	S100A12	S100A9	SLPI	STK17B	TNFAIP6	TNFSF14	TPST1	VCAN	VNN1	Type
Train.GSE10500_GSM265436_Control	1.89497910926865	0.225400120213381	5.87705900428646	6.2438382246625	1.79188618200212	5.0453939784848	2.40971066766404	1.43313026614875	1.36768193224086	3.46874512269389	-0.186276861462054	1.24090292373458	3.21401042546851	0.500500937533716	4.15820300954444	2.34308450044727	3.21550977102097	3.50189187423	2.0265147022814	-0.767089053584536	0
Train.GSE10500_GSM265439_Control	1.34012590731521	2.57608964354893	6.30195395719985	6.91099825297587	1.55104642391458	4.91117161461141	2.01338449021021	1.4553770266104	2.1049413038359	2.47958871458736	0.823929273902496	1.39812697039529	3.23448982641513	0.555378194884266	3.95785407654053	0.41634023738278	1.56718201549773	1.99692389051257	3.4770753491417	1.02077294770053	0
Train.GSE10500_GSM265445_Control	2.06942032285807	0.207981538944695	5.92630950103804	6.45933623226502	1.8688728752965	3.34552915690699	1.26504223607663	1.13123555564732	1.36451595030894	1.72984248580928	0.381630698278393	1.43741484892129	3.61825207866889	1.30889790629159	3.88904071738033	-0.402898314131896	1.23618542136429	1.63347254414098	2.31846090701693	0.774582323700156	0
Train.GSE10500_GSM265020_Treat	3.44329151549109	2.90233005910687	4.2911938224055	2.76099049995985	1.59833568277011	4.74590276160715	3.09400911075045	2.54826996297473	2.59660131109546	1.99873250627155	1.53081186616131	2.36085513387041	2.5187688656636	2.90390487498062	4.90116510610334	3.48480376840815	3.38196575660718	3.07762627820807	3.83979666463392	0.861914993433463	1
Train.GSE10500_GSM265036_Treat	3.3172313442618	1.95506883637235	4.88636825956182	3.92233569835859	4.30755750423552	4.80509044372323	3.06737225294096	3.39543496730363	1.28781923260121	3.24438546939393	2.98105933151275	5.74679517930795	6.31414249805606	3.11433495786716	4.97654137806919	2.2248137023433	4.02723809936031	2.63151833323428	5.52302390241341	1.06384221832198	1
Train.GSE10500_GSM265361_Treat	3.94828134870553	2.53730649234953	4.55133878606144	4.02749900056964	4.40705620726128	4.69018134505207	2.98240311056813	3.19073236449392	2.62462361925881	2.99991334363254	3.05816546250454	4.1711969860509	5.26963304567368	3.12240652299825	4.50474187138912	2.4743186942452	4.54198037717292	3.94770414318865	5.38513977057868	0.787310625754007	1
Train.GSE10500_GSM265363_Treat	1.97668999166783	0.773572157418096	4.96775035311216	4.48080966134654	3.67950668647401	4.70678557613552	2.48149366588485	2.50871212241627	1.94463601147378	2.79817253359771	2.1308317843229	2.50119855477036	5.04704781915306	4.4286360422977	4.80463310133419	2.52818315927623	3.68832527352676	3.18658985168595	4.73409840721858	-0.541599895504728	1
Train.GSE10500_GSM265366_Treat	2.51246023777019	0.709153156928456	4.75844957175681	4.04241028822351	2.09943201791479	4.54554936690363	2.09713767113595	3.14357736843095	3.06505388003078	2.86770305256379	2.85341488353577	3.25460306682114	5.00304880928649	1.12039713960131	4.46841160772691	1.89144940573835	4.01443891632726	4.08073459763254	4.7308148996322	-0.26541225858004	1
Train.GSE15573_GSM389705_Control	2.33747168133568	0.12059276518295	5.90041678860644	8.17227326088838	2.06165182298521	4.6108729417571	1.82607139690212	1.97969682247949	1.62460239107941	1.53770379246895	0.670209860311337	0.851169574714662	2.48209635698538	0.660871674039423	4.0083045714048	0.251820132171015	3.17577199804442	3.00482773090273	3.56956102751743	-0.728973132876861	0
Train.GSE15573_GSM389707_Control	1.83488754333162	0.497877666221108	4.83695017770401	6.11188329592718	1.61102416797565	4.71144254950515	2.1092390803156	1.46054368992129	1.13864905893025	1.38097617194759	1.17277065170279	1.52418501579553	2.68040392272956	0.000523790907883015	4.3702583608395	0.869360891020707	1.98046691556867	2.33659256527342	2.86849415724589	0.118333417204134	0
Train.GSE15573_GSM389709_Control	2.51159058693675	0.836049221482511	4.81150083363596	4.69401852649858	2.07723671493045	4.62567140765641	2.22886894445944	1.92395063982572	1.82159910031762	3.10082013971889	1.5860880990255	1.51860177801509	3.98284701973293	1.24541880075191	4.4485940560445	2.00110551335836	3.45842152344102	2.82925269216473	3.06424737296089	-0.0784558488095176	0
Train.GSE15573_GSM389710_Control	1.56895151250732	0.482517079867707	5.54488417223143	4.87367944533141	1.65142224739932	3.86406965825945	1.89529442058812	1.19008564346184	0.894562395490084	2.16011715851526	-0.309040467526248	1.01804575867895	2.08627327967956	0.0767218685562518	3.91388608874933	0.442876595918578	1.7201844575681	2.3145937783191	2.47755322594553	-0.727331084749304	0
Train.GSE15573_GSM389712_Control	2.38124604240278	0.641904617758628	5.51883526397266	5.64902392103137	2.50299952107731	4.9009713980107	1.95390714882725	1.71250701233147	1.93903330709288	1.29708604471241	0.675522765981465	1.32482486094263	3.5263477917174	2.58000673172995	4.20745234121987	0.551235773112513	2.9670085019599	2.74293167668798	3.67692618652492	0.150418454640949	0
Train.GSE15573_GSM389713_Control	2.53179145788258	0.665307567085181	5.35902984886876	5.06177473484901	1.72761605075255	3.27188994452176	2.29578174722379	1.46296154125717	1.20493845305328	1.98227144190938	-0.462339317155885	1.95867272139645	2.54189044735546	0.960078023570279	4.17388294786532	0.482433466294665	2.4820337755727	2.6336732462421	3.70506336040072	-0.325749268445851	0
