Gene	Cell	cor	pvalue
RNASE2	B cells naive	-0.0960709454263366	0.620070782305735
RNASE2	B cells memory	0.297626224263835	0.116871852096662
RNASE2	Plasma cells	-0.293640068444207	0.122091934621774
RNASE2	T cells CD8	0.0532019704433497	0.783598848167947
RNASE2	T cells CD4 naive	0.0836124099323632	0.66631053800536
RNASE2	T cells CD4 memory resting	-0.0288666747575872	0.881834087488118
RNASE2	T cells CD4 memory activated	-0.248464673298944	0.193717491284404
RNASE2	T cells follicular helper	-0.435096839544588	0.0183299149137243
RNASE2	T cells regulatory (Tregs)	0.14384236453202	0.454964429455096
RNASE2	T cells gamma delta	-0.0465842440625897	0.810361984376101
RNASE2	NK cells resting	0.14384236453202	0.454964429455096
RNASE2	NK cells activated	0.215005399651102	0.262683479176478
RNASE2	Monocytes	0.14679802955665	0.445662813037628
RNASE2	Macrophages M0	-0.0975369458128079	0.613434646354835
RNASE2	Macrophages M1	0.0791932149064025	0.683015474611747
RNASE2	Macrophages M2	0.379203136588304	0.0424859434489147
RNASE2	Dendritic cells resting	0.0451753951452626	0.815998698302793
RNASE2	Dendritic cells activated	-0.115327761665773	0.551353171274417
RNASE2	Mast cells resting	0.0772179743395538	0.690530244727081
RNASE2	Mast cells activated	-0.191111693680796	0.320665971679601
RNASE2	Eosinophils	-0.248464673298944	0.193717491284404
RNASE2	Neutrophils	-0.0172413793103448	0.929799512289247
