id	GSM3354765_Control	GSM3354767_Control	GSM3354769_Control	GSM3354771_Control	GSM3354766_Treat	GSM3354768_Treat	GSM3354770_Treat	GSM3354772_Treat
A1BG	7.9224094062708	6.03932623088889	6.50791701905854	7.06944342760914	7.55796130422619	6.43728075668474	7.0479587023487	6.46017830971713
A1BG-AS1	5.99887100324846	5.75601596249859	5.79667670653864	5.0456716384974	5.83324542984433	5.87029062828648	3.354240278216	2.86498336755362
A1CF	5.34701513520112	5.1197059593531	5.14049974171025	5.62606687661396	3.44755939789559	5.56827801982792	5.07232211864708	4.88172965800719
A2M	6.41884926639166	9.13465180585454	9.58839632685988	9.58977688317243	6.54118756032838	8.87907367134937	9.54415786494102	9.62783022995395
A2M-AS1	6.82372301478532	5.68613546655174	8.03801958349324	7.39763284175338	6.14668085629469	7.15530087310865	7.79714852051035	7.17517921664191
A2ML1	5.17278663950187	4.88750417726042	5.00167243112532	4.1081044997105	3.44755939789559	6.03742869163422	4.4393724427657	5.32304677369531
A2MP1	2.17759124575751	2.48972502123573	4.45821253563605	5.42095823264299	2.80164618202789	3.61438941297721	3.03984778997543	1.90524635959089
A4GALT	6.94065924315447	6.40297341446765	5.70603405746318	7.38175852721246	7.5683351818411	6.19482978444436	5.28669892584188	7.10619875251603
A4GNT	4.3591757836812	4.58122543692611	6.64120770851824	6.55398870898015	4.12461472659389	5.87697181347169	5.78942025042823	5.69861200639402
AA06	2.78322634283419	4.99444361574084	5.04033936358011	5.86666747078363	3.35150027731927	5.31532804748608	6.24545652258214	6.1650068306426
AAAS	8.1009779661305	7.46900474697117	7.43200040850375	6.3750110944336	7.83314304742655	6.40830259407176	6.25913541178014	7.98363454222362
AACS	9.8572848219132	10.3052303619131	10.6041546663796	9.98973952441068	9.82705190341433	10.3562175648391	10.4831574983609	10.0177342068939
AACSP1	2.86830354737754	2.12624028391502	5.79667670653864	2.30590904019748	1.30659377996795	3.59333218572219	5.21484388362336	5.48724161780608
