features	algorithm
AIM2	glmBoost+Enet[alpha=0.5]
CSF1R	glmBoost+Enet[alpha=0.5]
F5	glmBoost+Enet[alpha=0.5]
IER3	glmBoost+Enet[alpha=0.5]
IL18R1	glmBoost+Enet[alpha=0.5]
RNASE2	glmBoost+Enet[alpha=0.5]
S100A9	glmBoost+Enet[alpha=0.5]
SLPI	glmBoost+Enet[alpha=0.5]
VCAN	glmBoost+Enet[alpha=0.5]
VNN1	glmBoost+Enet[alpha=0.5]
AIM2	Enet[alpha=0.6]
CSF1R	Enet[alpha=0.6]
F5	Enet[alpha=0.6]
IER3	Enet[alpha=0.6]
IL18R1	Enet[alpha=0.6]
RNASE2	Enet[alpha=0.6]
S100A9	Enet[alpha=0.6]
SLPI	Enet[alpha=0.6]
VCAN	Enet[alpha=0.6]
VNN1	Enet[alpha=0.6]
AIM2	glmBoost+Enet[alpha=0.6]
CSF1R	glmBoost+Enet[alpha=0.6]
F5	glmBoost+Enet[alpha=0.6]
IER3	glmBoost+Enet[alpha=0.6]
IL18R1	glmBoost+Enet[alpha=0.6]
RNASE2	glmBoost+Enet[alpha=0.6]
S100A9	glmBoost+Enet[alpha=0.6]
SLPI	glmBoost+Enet[alpha=0.6]
VCAN	glmBoost+Enet[alpha=0.6]
VNN1	glmBoost+Enet[alpha=0.6]
AIM2	glmBoost+Enet[alpha=0.7]
CSF1R	glmBoost+Enet[alpha=0.7]
F5	glmBoost+Enet[alpha=0.7]
IER3	glmBoost+Enet[alpha=0.7]
IL18R1	glmBoost+Enet[alpha=0.7]
RNASE2	glmBoost+Enet[alpha=0.7]
S100A9	glmBoost+Enet[alpha=0.7]
SLPI	glmBoost+Enet[alpha=0.7]
VCAN	glmBoost+Enet[alpha=0.7]
VNN1	glmBoost+Enet[alpha=0.7]
AIM2	glmBoost+Enet[alpha=0.8]
CSF1R	glmBoost+Enet[alpha=0.8]
F5	glmBoost+Enet[alpha=0.8]
IER3	glmBoost+Enet[alpha=0.8]
IL18R1	glmBoost+Enet[alpha=0.8]
RNASE2	glmBoost+Enet[alpha=0.8]
SLPI	glmBoost+Enet[alpha=0.8]
VCAN	glmBoost+Enet[alpha=0.8]
VNN1	glmBoost+Enet[alpha=0.8]
AIM2	Enet[alpha=0.8]
CSF1R	Enet[alpha=0.8]
F5	Enet[alpha=0.8]
IER3	Enet[alpha=0.8]
IL18R1	Enet[alpha=0.8]
RNASE2	Enet[alpha=0.8]
SLPI	Enet[alpha=0.8]
VCAN	Enet[alpha=0.8]
VNN1	Enet[alpha=0.8]
CSF1R	Enet[alpha=0.9]
F5	Enet[alpha=0.9]
IER3	Enet[alpha=0.9]
IL18R1	Enet[alpha=0.9]
RNASE2	Enet[alpha=0.9]
SLPI	Enet[alpha=0.9]
VCAN	Enet[alpha=0.9]
VNN1	Enet[alpha=0.9]
CSF1R	Lasso
F5	Lasso
IER3	Lasso
IL18R1	Lasso
RNASE2	Lasso
SLPI	Lasso
VCAN	Lasso
VNN1	Lasso
AIM2	Enet[alpha=0.7]
CSF1R	Enet[alpha=0.7]
F5	Enet[alpha=0.7]
IER3	Enet[alpha=0.7]
IL18R1	Enet[alpha=0.7]
RNASE2	Enet[alpha=0.7]
S100A9	Enet[alpha=0.7]
SLPI	Enet[alpha=0.7]
VCAN	Enet[alpha=0.7]
VNN1	Enet[alpha=0.7]
CSF1R	glmBoost+Enet[alpha=0.9]
F5	glmBoost+Enet[alpha=0.9]
IER3	glmBoost+Enet[alpha=0.9]
IL18R1	glmBoost+Enet[alpha=0.9]
RNASE2	glmBoost+Enet[alpha=0.9]
SLPI	glmBoost+Enet[alpha=0.9]
VCAN	glmBoost+Enet[alpha=0.9]
VNN1	glmBoost+Enet[alpha=0.9]
CSF1R	glmBoost+Lasso
F5	glmBoost+Lasso
IER3	glmBoost+Lasso
IL18R1	glmBoost+Lasso
RNASE2	glmBoost+Lasso
SLPI	glmBoost+Lasso
VCAN	glmBoost+Lasso
VNN1	glmBoost+Lasso
CSF1R	Lasso+plsRglm
F5	Lasso+plsRglm
IER3	Lasso+plsRglm
IL18R1	Lasso+plsRglm
RNASE2	Lasso+plsRglm
SLPI	Lasso+plsRglm
VCAN	Lasso+plsRglm
VNN1	Lasso+plsRglm
AIM2	glmBoost+plsRglm
CSF1R	glmBoost+plsRglm
F5	glmBoost+plsRglm
IER3	glmBoost+plsRglm
IL18R1	glmBoost+plsRglm
RNASE2	glmBoost+plsRglm
S100A9	glmBoost+plsRglm
SLPI	glmBoost+plsRglm
VCAN	glmBoost+plsRglm
VNN1	glmBoost+plsRglm
AIM2	glmBoost+Stepglm[forward]
CSF1R	glmBoost+Stepglm[forward]
F5	glmBoost+Stepglm[forward]
IER3	glmBoost+Stepglm[forward]
IL18R1	glmBoost+Stepglm[forward]
RNASE2	glmBoost+Stepglm[forward]
S100A9	glmBoost+Stepglm[forward]
SLPI	glmBoost+Stepglm[forward]
VCAN	glmBoost+Stepglm[forward]
VNN1	glmBoost+Stepglm[forward]
CSF1R	Lasso+Stepglm[forward]
F5	Lasso+Stepglm[forward]
IER3	Lasso+Stepglm[forward]
IL18R1	Lasso+Stepglm[forward]
RNASE2	Lasso+Stepglm[forward]
SLPI	Lasso+Stepglm[forward]
VCAN	Lasso+Stepglm[forward]
VNN1	Lasso+Stepglm[forward]
