geneNames	GSE10500_GSM265436_Control	GSE10500_GSM265439_Control	GSE10500_GSM265445_Control	GSE10500_GSM265020_Treat	GSE10500_GSM265036_Treat	GSE10500_GSM265361_Treat	GSE10500_GSM265363_Treat	GSE10500_GSM265366_Treat	GSE15573_GSM389705_Control	GSE15573_GSM389707_Control	GSE15573_GSM389709_Control	GSE15573_GSM389710_Control	GSE15573_GSM389712_Control	GSE15573_GSM389713_Control	GSE15573_GSM389715_Control	GSE15573_GSM389718_Control	GSE15573_GSM389720_Control	GSE15573_GSM389723_Control	GSE15573_GSM389725_Control	GSE15573_GSM389728_Control	GSE15573_GSM389729_Control	GSE15573_GSM389732_Control	GSE15573_GSM389734_Control	GSE15573_GSM389703_Treat	GSE15573_GSM389704_Treat	GSE15573_GSM389706_Treat	GSE15573_GSM389708_Treat	GSE15573_GSM389711_Treat	GSE15573_GSM389714_Treat	GSE15573_GSM389716_Treat	GSE15573_GSM389717_Treat	GSE15573_GSM389719_Treat	GSE15573_GSM389721_Treat	GSE15573_GSM389722_Treat	GSE15573_GSM389724_Treat	GSE15573_GSM389726_Treat	GSE15573_GSM389727_Treat	GSE15573_GSM389730_Treat	GSE15573_GSM389731_Treat	GSE15573_GSM389733_Treat	GSE15573_GSM389735_Treat	GSE7669_GSM185531_Control	GSE7669_GSM185532_Control	GSE7669_GSM185533_Control	GSE7669_GSM185534_Control	GSE7669_GSM185535_Control	GSE7669_GSM185536_Control	GSE7669_GSM183695_Treat	GSE7669_GSM185526_Treat	GSE7669_GSM185527_Treat	GSE7669_GSM185528_Treat	GSE7669_GSM185529_Treat	GSE7669_GSM185530_Treat
AADAC	2.3774425	2.3875732	2.7425314	4.4219499	4.8874887	3.1394959	2.8552111	2.4883424	7.397012	7.144441	7.196436	7.335779	7.335828	7.335298	7.435407	7.304425	7.28337	7.228067	7.263343	7.172081	7.262586	7.162595	7.373028	7.24512	7.179472	7.10784	7.187262	7.425136	7.259996	7.401737	7.203157	7.389126	7.289516	7.322027	7.298924	7.314846	7.069786	7.499982	7.324394	7.318551	7.272522	2.7381456	3.5034003	4.1955691	2.6729348	2.8942906	3.3645921	1.8064389	1.1912818	1.3371855	2.8676366	2.0328775	3.6374555
AAK1	5.2201955	5.3962579	5.1299733	5.1786162	5.7671573	5.4774075	5.506523	5.40837	7.339021	7.17185	7.247104	7.319214	7.263879	7.349146	7.35104	7.242496	7.275705	7.360314	7.342192	7.203391	7.380376	7.333205	7.376051	7.035928	7.115893	7.253628	7.336578	7.144441	7.532367	7.28866	7.300098	7.504711	7.162382	7.40137	7.19852	7.39594	7.280269	7.43472	7.263924	7.232986	7.397589	4.8676438	4.5523325	4.5964672	5.5056775	4.6660365	5.7675291	4.8711579	4.8121472	5.0697974	5.2930708	4.9109186	4.865319
AAMP	7.8484215	8.0587027	8.2875379	7.0479486	7.9595807	7.9836623	8.1381418	7.9188039	8.603996	8.51878	8.56489	8.476718	8.425516	8.477658	8.474269	8.502526	8.509819	8.346624	8.575735	8.656265	8.644893	8.816686	8.419882	8.340699	8.597143	8.395457	8.440144	8.544323	8.507351	8.158972	8.144029	8.573311	8.489468	8.358176	8.822332	8.327285	8.522078	8.647391	8.446918	8.333295	8.378123	8.7321995	9.3456098	9.2323252	8.9846091	9.1722166	9.2817591	8.6271431	8.7701189	8.8872445	9.1757189	9.0687418	8.7500154
AANAT	7.7143218	8.0715732	7.7019497	8.0598293	8.7200366	8.1822812	8.0097728	8.6427465	7.092593	6.936525	7.078518	7.221625	7.183495	7.038894	7.103724	6.994256	7.043877	7.205681	7.084435	7.154534	7.14247	7.132039	7.053137	7.107048	7.103044	7.131932	7.125725	7.198132	7.128496	7.213968	7.068942	7.197412	7.065049	7.207869	7.196945	7.02536	7.095638	7.282451	6.904909	7.025476	7.056911	8.0160987	8.3887915	8.285584	8.5409736	8.58284	8.8659548	8.6242827	8.4385065	8.7858283	8.1874178	8.8358877	8.3707241
AARS	8.0857407	7.9709666	8.6823495	8.5445099	9.1094772	8.8630162	8.8519289	9.5044276	10.353499	10.208196	10.066956	10.268421	10.412925	10.45385	10.303758	10.080532	10.28039	9.699665	9.997635	9.79129	10.147349	10.206059	10.430513	9.83636	10.244662	9.226629	10.094319	9.492354	9.794522	9.559021	9.093059	9.932049	10.385035	9.511436	10.2094	9.458516	9.708642	10.405783	9.224976	9.690004	9.920246	10.356533	10.8590308	10.464903	10.5860686	10.34794	10.6680865	10.4513443	10.7405328	10.6352936	10.6079948	10.6996625	10.3879492
AASDHPPT	8.8127051	8.8344477	8.7750807	8.8950851	7.6423812	7.8290881	7.7849619	7.8160411	7.504672	7.57185	7.621276	7.688473	7.663506	7.553998	7.492053	7.673737	7.756607	7.492141	7.475055	7.894244	7.568393	7.312206	7.638115	7.535795	7.512389	7.311771	7.535725	7.435577	7.219785	7.451943	7.237765	7.46441	7.381355	7.212233	7.173826	7.445795	7.572048	7.376212	7.319605	7.688057	7.307181	9.7120116	9.4432464	9.2173678	9.1596262	9.3951015	9.5019113	9.056643	9.0713698	9.5146341	9.8520511	9.5557457	9.3981205
AASS	2.6175011	2.1880655	2.4524243	2.6851887	2.9969318	2.4622457	1.4554234	2.7667552	7.353117	7.267945	7.455215	7.369681	7.333528	7.405542	7.466567	7.344743	7.460742	7.343944	7.345153	7.324893	7.242856	7.316903	7.359888	7.208836	7.403082	7.308904	7.43302	7.351218	7.31608	7.440639	7.592244	7.328891	7.397497	7.316875	7.557059	7.408057	7.415041	7.312678	7.233671	7.247021	7.43891	5.9406956	4.9577632	4.3213805	5.813376	2.9379541	5.4751015	5.5121371	5.4852758	5.7001523	5.544028	5.6588422	5.039883
AATF	9.4431	8.8935004	9.4102792	8.5197613	8.7154726	8.8519289	8.9889122	8.5941025	10.0595	9.905979	9.687124	9.79689	9.782665	9.520474	9.94571	9.672202	9.801801	9.684269	10.040291	9.747164	9.917753	10.006676	9.606799	9.454341	9.870343	10.210441	9.641334	9.83636	9.803219	9.41858	9.47167	9.943061	9.873612	9.926618	10.276199	9.657926	9.845509	9.988359	9.98931	9.123965	9.938751	10.2478595	10.4037837	10.2710132	10.4443049	10.6248805	10.3986802	10.1397374	10.3329546	9.972271	10.0967355	10.4538311	10.5289105
AATK	9.0629466	7.6423812	8.3202302	5.7971039	7.2881398	6.8453072	7.1824444	6.7674236	8.173059	8.068921	7.9071	7.933083	7.903351	7.786146	8.113483	7.800813	7.808447	7.951918	7.967415	8.034568	8.101698	8.248238	8.111099	7.852805	8.042873	8.438984	7.975527	8.219997	7.880217	7.885857	8.375999	8.124856	7.911077	8.108167	8.242796	7.935245	7.862346	8.199524	8.365382	7.790564	8.317984	6.8714031	7.2863936	7.0072576	6.9745198	7.4177617	7.717276	7.323373	7.6295785	7.1391315	6.8014532	7.3758787	7.2816131
ABAT	5.1988064	4.5629185	4.5919037	4.8387304	4.2394316	3.1448685	4.0256963	4.5644547	7.620731	7.480809	7.401156	7.518169	7.46829	7.562178	7.707647	7.537142	7.420842	7.53868	7.668195	7.349542	7.798664	7.559473	7.543644	7.513818	7.525439	7.4607	7.401997	7.63374	7.541849	7.568393	7.415222	7.544716	7.65828	7.800813	7.404053	7.686308	7.427355	7.624054	7.73292	7.488716	7.610639	4.6737158	3.9931045	5.1187357	4.9687257	5.2282006	5.3296705	4.2954676	4.7475179	5.320723	5.7332558	5.0993861	5.0410204
ABCA1	6.8333658	7.2566935	6.8915761	5.9686126	6.6179999	7.2129926	7.2787988	6.7436869	8.739206	8.808145	8.500993	9.464767	9.389933	9.316892	9.15031	9.21751	9.85529	9.233538	9.003485	8.963709	8.369581	8.740079	8.59259	9.366662	9.486296	9.825456	9.490195	10.636457	9.971135	10.543713	10.268421	9.307427	9.224976	10.079507	7.74605	10.406883	10.374179	9.960504	10.492489	9.772129	9.448057	6.8874927	6.5639281	7.0308851	7.0491767	6.6706824	7.0008348	6.843645	6.7296568	6.8325066	6.714749	6.8547775	6.5405054
ABCA12	1.3647713	2.1139328	1.1685902	1.7483416	2.9954798	3.7153396	1.7263968	2.0942328	8.661252	8.714609	8.4979	8.594609	8.224382	8.611147	8.573594	8.287728	8.265727	8.800842	8.323119	8.665206	8.518427	8.965913	8.67084	8.130784	8.483361	9.049906	8.439554	8.671595	8.560729	8.330137	8.903541	8.860968	8.139215	8.994282	9.043072	8.316451	8.385354	8.890479	8.34872	8.200019	9.048438	2.2927617	1.8413561	1.4266516	2.3607459	2.1889503	4.2728593	2.7024868	1.9721299	1.8469702	1.565874	2.3846034	2.3738101
ABCA2	4.7262007	5.4416613	5.0266811	2.8775147	4.3187823	3.2221138	4.1964337	4.3440822	7.809501	7.610037	7.903568	7.69479	7.6845	7.598201	7.72498	7.70575	7.693971	7.481064	7.7632	7.813325	7.681435	7.601561	7.528034	7.771587	7.74753	7.817415	7.65927	7.818524	7.769204	7.59671	7.48986	7.682224	7.681346	7.599776	7.766413	7.709388	7.617539	7.788773	7.981117	7.600619	7.515205	7.3730754	7.2744499	6.9998554	6.658134	7.5274736	7.2091303	7.1387062	7.4579199	7.192633	7.2529201	6.9486661	7.1569924
ABCA3	5.7629303	6.1489029	5.8203589	4.8254837	5.8603491	6.5659499	5.6347903	6.2381888	7.962536	7.854374	7.975089	7.942665	7.8441	7.930969	7.656645	7.823006	7.874461	7.622437	7.984763	7.776271	7.762007	8.01156	7.816876	7.964777	7.998908	7.752622	7.697905	7.645471	7.914244	7.713191	7.759944	7.784658	8.032997	7.799729	7.451609	7.768916	7.814916	8.053248	7.691732	7.78317	8.023115	7.0661478	7.7129574	6.7873235	6.5151845	7.7151643	7.7866039	5.6806526	6.5948274	6.7784149	6.6895935	6.8347908	6.3001799
ABCA4	3.8776225	3.9844609	3.8573105	3.1245272	2.5312938	2.9832583	3.339221	3.0935461	7.182285	7.135817	7.046795	7.047539	7.204143	7.185992	7.117168	7.075183	7.038766	7.069195	7.170572	7.020279	7.054855	7.14955	7.065961	7.105778	7.057631	7.040263	7.066541	7.279538	6.995327	7.153459	7.026059	6.989986	7.045231	7.193937	7.181456	7.113682	7.095286	7.073331	6.961224	7.06792	7.027767	2.8181892	3.0079777	3.0793345	3.5353374	2.8181892	5.1873132	3.2653539	6.260322	3.3375887	2.6982172	4.0369638	4.1004889
ABCA5	3.3141298	3.7080741	3.3987287	4.9030633	3.1573256	3.856321	2.836843	2.723058	7.199653	7.270753	7.261212	7.247435	7.171549	7.275121	7.179866	7.285074	7.230871	7.158097	7.281751	7.266664	7.296022	7.247139	7.221185	7.320395	7.261459	7.197605	7.252844	7.232636	7.343832	7.279093	7.195922	7.287245	7.283839	7.227565	7.303411	7.370544	7.231937	7.261924	7.239915	7.284572	7.144732	3.6201149	4.6996321	4.8898725	5.3783438	4.1591947	4.4928961	4.6913527	4.9384665	4.0661725	4.336144	4.2013062	4.5282157
ABCA6	4.4161914	5.1472669	5.3863789	1.1513915	4.4349775	1.8755789	2.3320953	3.5662142	7.187368	7.142382	7.143285	7.196545	7.03981	7.14492	7.185495	7.162821	7.163668	7.078595	7.190576	7.230124	7.138644	7.146101	7.131051	7.182395	7.281204	7.166044	7.187684	7.225916	7.08126	7.129651	6.985644	7.160687	7.21727	7.114175	7.163813	7.197175	7.116952	7.151558	7.138101	7.145968	7.127211	7.2795438	7.179913	6.9690329	5.6636807	6.5885139	6.0716748	6.4396264	6.4171331	7.2165064	7.4168661	6.9614667	6.0271459
ABCA8	1.290154	3.6271319	1.1157448	0.8634094	1.4623174	1.0987791	2.5444005	2.1477127	7.486279	7.31556	7.235176	7.513284	7.510435	7.488645	7.566469	7.41344	7.258891	7.361206	7.311135	7.294241	7.375323	7.276565	7.315868	7.432577	7.360122	7.277266	7.288513	7.587661	7.516062	7.41658	7.486907	7.45743	7.350078	7.391799	7.467418	7.383554	7.353192	7.396139	7.353798	7.271243	7.035681	6.8356618	7.0102844	6.9614667	7.3543315	7.0187019	7.1487005	7.0754883	7.2424038	7.9062949	7.106027	6.9146482	6.5556601
ABCB1	4.1900161	3.8511706	3.8669668	4.7853857	3.023889	4.3192912	4.179521	4.3051515	7.776271	8.239059	8.065667	7.959446	7.804726	7.643347	7.668806	7.978237	7.998697	7.80812	7.846028	7.432698	7.740145	7.387445	7.755819	7.753392	7.50229	7.396491	7.553886	7.867613	7.787097	7.781347	7.494055	7.498561	7.629245	7.270126	7.502961	7.667874	7.534515	7.589634	7.53661	7.867229	7.357151	3.4846104	3.7272082	4.3880979	3.3896972	3.5475033	3.7759543	3.2041948	3.6483228	4.0792095	3.1814386	3.2653539	3.1814386
ABCB10	3.1908479	2.3045446	3.5212754	4.3922567	4.7332013	3.2616747	3.6885427	4.0761507	7.464995	7.766266	7.683202	7.81477	7.642965	7.80004	7.807152	8.188167	7.866254	7.601696	7.571309	7.344535	7.527656	7.466889	8.099189	7.994462	7.640394	7.540705	7.574167	7.529658	7.713191	7.956496	7.817047	7.540211	7.604257	7.355037	7.372405	7.649516	7.920418	7.515402	7.571167	8.37996	7.639885	3.3860361	4.2577369	2.9730447	4.3181293	4.3716814	2.5775497	2.7525774	4.7458606	4.4731728	4.6359672	4.285923	3.0553132
ABCB11	3.1046496	3.3252358	2.8248193	4.0724516	1.3810362	3.5372701	2.1096585	1.7185771	7.232279	7.370491	7.257514	7.266742	7.348155	7.247621	7.236753	7.14355	7.320274	7.252743	7.304639	7.265606	7.250071	7.31926	7.279685	7.296772	7.120958	7.375965	7.338344	7.274358	7.348	7.270126	7.349774	7.361476	7.048216	7.287928	7.405823	7.285234	7.146064	7.221375	7.353768	7.266451	7.269694	4.1814361	2.9980165	3.7028511	2.5723495	3.6854495	4.1022512	3.5893426	3.0018271	2.8721807	2.666871	4.2313323	4.9518457
ABCB4	5.4278925	3.8377765	4.6113922	2.2608565	4.9826203	5.4058177	5.7432939	5.694995	7.328809	7.446785	7.274327	7.367702	7.556616	7.328861	7.336105	7.316031	7.492609	7.324873	7.355058	7.368995	7.459328	7.465806	7.37216	7.642176	7.209438	7.301625	7.269421	7.263987	7.357579	7.325471	7.273244	7.243363	7.609394	7.367056	7.46652	7.426381	7.665552	7.280498	7.262839	7.683419	7.318277	5.2061839	4.4722653	2.6919728	4.9834669	4.8626928	2.7983531	4.6962485	3.5861576	4.9929517	2.6696772	5.6500854	5.7922248
ABCB6	5.3852855	4.6402855	4.3822617	4.2231307	4.3142845	4.2557549	3.7893617	4.2769377	7.369018	7.316283	7.373994	7.43186	7.426259	7.558929	7.47248	7.494649	7.363011	7.421136	7.440319	7.317132	7.325	7.362869	7.46441	7.574116	7.606982	7.381416	7.381416	7.407193	7.559301	7.608986	7.315722	7.305187	7.662708	7.536563	7.246384	7.337312	7.558624	7.613898	7.560086	7.554927	7.582638	6.6619676	6.4325156	6.1641207	6.4341545	6.7852336	6.6306239	7.4386212	7.15459	6.3609679	6.2051626	6.3707083	7.192633
ABCB7	6.7036558	6.6530495	6.4965498	6.4859701	5.7487003	6.0002331	6.1642978	6.6229277	7.816576	8.130287	8.045207	7.988595	8.030486	7.970537	7.916085	8.051049	8.056664	8.049443	8.078241	7.775155	7.921551	7.710688	8.173546	8.062515	8.051446	7.706311	7.99979	7.866254	8.024305	8.037503	7.595009	7.92087	7.905082	7.726299	7.797026	7.815565	8.008498	8.036799	7.908249	8.19426	8.006412	6.9536939	6.8615097	7.1380074	7.0216205	7.191279	6.852392	6.4341545	6.0807838	7.3478286	6.8934169	6.9682816	6.8822345
ABCB8	5.0665064	4.8311484	4.6460052	4.1313115	5.2201955	4.7745626	4.4591326	4.9211198	7.482427	7.54725	7.568214	7.496546	7.532277	7.607777	7.524941	7.605173	7.662518	7.561042	7.683665	7.475837	7.631995	7.479201	7.50618	7.710443	7.602556	7.42126	7.481103	7.566822	7.711921	7.475759	7.503273	7.443849	7.623665	7.711456	7.297415	7.663831	7.598933	7.757599	7.536486	7.522844	7.438247	5.0099445	5.0363336	5.3181381	5.5193895	4.8867928	5.183166	5.2112872	4.981113	4.9230796	4.7314375	5.0564707	4.9174603
ABCB9	6.2525132	6.0586433	5.9158559	6.4374161	7.4952261	7.2317074	6.4877119	6.4001623	7.210448	7.157167	7.232907	7.27874	7.343076	7.211315	7.27907	7.263812	7.361947	7.266641	7.273562	7.157706	7.364069	7.249843	7.261113	7.291262	7.340267	7.316811	7.200811	7.291986	7.206514	7.286042	7.284616	7.258993	7.112545	7.194573	7.172949	7.339858	7.222056	7.35523	7.208989	7.177783	7.307756	7.0202946	7.2966194	7.1501438	7.1085695	7.0499517	7.4825935	7.2609148	7.0567723	7.3349396	6.9525118	6.860686	7.2218328
ABCC1	7.4353946	7.6149909	6.9971567	6.2493151	5.9595824	6.4119818	6.017267	6.6793836	7.57192	7.551317	7.594052	7.573654	7.520455	7.362459	7.500398	7.573259	7.639134	7.522844	7.630346	7.5759	7.402816	7.489448	7.526704	7.674585	7.685046	7.337944	7.562236	7.547795	7.453697	7.454283	7.384049	7.612636	7.680722	7.788773	7.438997	7.555728	7.503956	7.4643	7.484564	7.455552	7.528194	8.3858808	8.6394589	8.7311627	8.4344715	8.1507947	7.7199653	8.7024651	8.9426352	8.1691146	8.2796519	8.3273979	8.4075473
ABCC10	7.3220858	7.6510794	7.6112026	7.1686392	6.9606151	7.410991	7.5625949	7.3855429	8.121928	7.960767	8.058412	8.061252	7.963974	7.886789	8.096913	7.912211	7.971379	7.949661	8.155078	8.092855	7.824469	7.952332	7.973799	8.007561	7.874461	8.060934	7.978869	7.890561	7.993387	7.94152	7.682467	8.152451	8.042408	7.656286	8.097471	7.997865	7.967692	7.974021	7.836575	7.841765	7.866796	7.8696641	7.8911749	8.0550648	8.1677269	8.2216764	8.3170482	7.7826781	7.6203683	7.6892643	8.1740857	8.096075	7.9476633
ABCC2	3.2585197	3.60553	3.219369	0.9753565	1.3647713	4.0871634	3.8046533	0.8255853	7.428191	7.377365	7.436318	7.398381	7.55982	7.501649	7.442281	7.398473	7.489648	7.50719	7.454283	7.560551	7.547116	7.296772	7.372113	7.514625	7.436845	7.374106	7.387477	7.51276	7.36339	7.572048	7.435675	7.446991	7.494354	7.553173	7.51072	7.478164	7.500786	7.544303	7.567035	7.59526	7.499927	4.9459407	3.9063081	6.946565	5.3258266	5.0793362	5.1374561	5.7751498	4.5267017	3.8159454	5.5846042	3.9811197	4.4643547
ABCC3	7.5237119	7.8529657	8.0542287	8.1926155	5.0627789	6.8549863	7.3035635	7.1098259	8.681255	8.107205	8.006608	8.171142	8.554376	8.077024	8.073309	7.855963	7.795681	8.569558	8.408144	8.127859	8.110855	8.78213	8.330441	7.811522	8.025597	8.511157	7.905082	8.293993	8.521307	7.72918	8.716273	8.258988	7.995728	8.403519	8.961254	7.963532	8.037503	8.577148	8.026663	7.742106	8.838359	5.566782	3.7335466	6.5291984	7.3031718	4.110849	4.8723325	7.3875282	7.8248874	4.5506781	5.747531	5.3195206	7.9607049
ABCC4	4.70307	5.6039317	4.8447555	3.941149	3.8613689	3.5551024	4.6456749	4.0262937	7.630432	7.997621	7.729063	7.905082	7.852073	7.664159	7.606516	7.776023	7.711456	7.928359	7.593057	7.705528	7.611208	8.002904	7.740915	7.76684	7.676891	8.102156	7.74476	7.542247	7.658601	7.777236	8.556516	7.631476	7.76574	7.702015	7.761703	7.715405	7.842447	7.759633	7.985605	7.816234	8.399802	4.7350612	4.5694871	4.9934835	4.7357218	4.7314375	4.1357804	5.0800327	5.5088993	5.4071885	5.8370247	5.2012968	5.6137051
ABCC5	7.3425639	9.7789241	10.1568907	7.1900267	7.0627088	5.9454761	6.9393757	8.1990739	8.56924	8.330137	8.397238	8.307893	8.51878	8.693879	8.439282	8.425793	8.76181	8.544323	8.628871	8.424907	8.595297	8.598552	8.188469	8.581852	8.206836	9.201538	8.503926	8.932228	8.424907	8.808145	8.917139	8.908351	8.647786	9.387547	8.988325	8.771934	8.656662	8.413455	9.113206	8.163102	8.402583	7.4698721	6.7951196	7.1865501	8.101921	7.745865	7.6549745	6.7837015	7.0131133	7.10907	7.0447723	7.6908721	6.9383344
ABCC6	4.8706845	5.402589	5.5623184	5.5523209	4.8993581	5.2592029	5.9516684	5.5988207	7.385823	7.354322	7.356876	7.310712	7.322595	7.304997	7.28332	7.249568	7.321366	7.337117	7.352634	7.384803	7.249409	7.309197	7.372087	7.340869	7.318043	7.454943	7.35641	7.265688	7.244138	7.24544	7.279852	7.422701	7.272973	7.32276	7.37159	7.315983	7.27852	7.355787	7.39766	7.335865	7.370207	5.9536527	5.6485282	6.0220603	6.723599	6.0166665	5.5259818	5.8202858	6.108269	6.1590324	6.0479297	6.2625915	6.6083838
ABCC8	6.4770984	6.5918264	6.7952938	6.7086729	7.4083807	6.6748128	7.1335377	7.0186942	7.202397	7.1507	7.254179	7.11558	7.216417	7.282617	6.983173	7.132293	7.123408	7.036371	7.212233	7.122988	7.055412	7.130112	6.997816	7.286721	7.226664	7.091026	7.178799	7.270067	7.107209	7.047405	7.224019	7.107652	7.220617	7.019478	7.139297	7.132699	7.218832	7.04471	7.212427	7.217334	7.026796	6.4215098	6.8771301	6.5556601	6.9359027	6.9704327	7.5456632	7.0337226	6.6217516	6.8929022	6.8517881	6.8898362	6.3403866
ABCC9	4.666011	5.1379615	5.0356865	4.695519	3.4533263	5.4902685	4.9878761	4.8359718	7.21171	7.320535	7.259548	7.219884	7.163118	7.25717	7.156544	7.176411	7.275223	7.264764	7.221447	7.162026	7.298924	7.2457	7.282917	7.234303	7.346902	7.257849	7.202574	7.194799	7.184446	7.226664	7.232067	7.163387	7.171982	7.299698	7.253993	7.276253	7.218985	7.21168	7.216631	7.176957	7.228006	4.8387889	4.8711579	5.6117405	6.3161362	6.2530038	5.735011	5.8518775	5.0110647	5.6137051	5.8498097	5.5112442	5.5954655
ABCD1	6.1658986	6.6122988	6.4518403	3.0746962	3.9814162	4.2023728	3.1004348	5.3586037	7.865202	7.641188	7.658788	7.657497	7.700863	7.650219	7.643347	7.786835	7.776823	7.861332	8.065473	7.716929	7.684723	7.799888	7.572741	7.726299	7.927563	7.757728	7.758394	7.806949	7.801025	7.671959	7.335298	7.843478	7.828447	7.840937	7.831538	7.882128	7.885648	7.858328	8.246487	7.577947	7.843657	5.7121998	4.546586	5.9587089	5.7272317	5.1374561	3.5179762	5.2583804	5.4866153	5.7915375	5.9627339	5.4560639	4.1460026
ABCD2	1.8224201	1.8111148	3.0882597	4.4917909	1.4244258	1.641608	4.032689	2.5829036	7.30649	7.381416	7.174654	7.410377	7.394183	7.277872	7.342266	7.423076	7.512893	7.33907	7.182517	7.382905	7.413644	7.197412	7.274327	7.274714	7.331746	7.135153	7.26827	7.455079	7.407134	7.278951	7.534852	7.597513	7.414204	7.435944	7.420776	7.295581	7.292092	7.470306	7.416716	7.250644	7.378112	1.3779702	3.609464	1.0969108	3.2130367	2.4037452	1.855572	2.2480032	2.178958	3.6278109	1.2657717	1.0020399	1.8817895
ABCD3	7.0731151	7.9130406	7.6765664	7.9498406	6.908125	7.3660474	7.1379671	7.2088916	7.503912	7.445032	7.507136	7.631046	7.682748	7.650839	7.477743	7.777062	7.588074	7.626588	7.374159	7.536196	7.529118	7.391549	7.581559	7.616825	7.520455	7.348134	7.52961	7.552428	7.673853	7.677525	7.702618	7.448833	7.633925	7.379869	7.442091	7.435917	7.542107	7.46993	7.558377	7.723134	7.573791	8.9056126	7.9297756	7.8939703	8.1204329	7.7392764	7.677066	7.4956276	7.1781619	8.312886	8.5102146	7.4305927	7.3794377
ABCD4	4.4747471	5.5178672	5.6115249	5.8125026	5.8359554	5.5102316	6.2275964	6.8966773	7.509049	7.574432	7.566885	7.49308	7.519482	7.441132	7.498873	7.567273	7.607557	7.591107	7.542054	7.65147	7.528968	7.697573	7.614812	7.607909	7.4828	7.779304	7.647145	7.477181	7.534236	7.474664	7.556426	7.589425	7.592847	7.640086	7.727893	7.479728	7.564445	7.454451	7.463859	7.463618	7.545342	5.5327657	4.8898725	3.6751068	3.8506148	5.1873132	5.2318818	4.210431	5.274977	5.251436	4.1751943	5.4926395	3.6121141
ABCE1	6.641763	4.8208896	5.3709228	5.6852494	5.9568444	5.7821479	5.0716961	6.0817955	7.066721	7.327976	7.386295	7.349794	7.649159	7.639298	7.598201	7.905775	7.553886	7.259525	7.414772	7.593621	7.551106	7.210842	7.685729	7.684409	7.401997	7.112367	7.151521	7.205754	7.391713	7.984763	7.151661	7.000203	7.765999	7.145547	7.046649	7.264863	7.849883	7.009761	7.278464	8.382864	7.215183	6.8957786	6.1272652	6.0468131	6.4019762	5.9108198	6.1867923	6.3385992	6.1344086	6.4141071	6.4957056	5.7721123	6.5895466
ABCF1	8.7803191	7.9714938	8.303532	8.3627713	8.515755	8.4479099	8.1874855	8.6021189	10.810127	10.750106	10.561086	10.913211	10.720965	10.652507	10.556806	10.57265	10.547652	10.446509	10.574007	10.353499	10.665683	10.760498	10.740784	10.006676	10.645632	9.92234	10.578165	9.910481	10.422011	10.126664	9.430834	10.482003	10.708519	10.065024	10.843173	10.124725	10.239184	10.719531	9.732039	9.900014	10.423119	8.4520276	8.7162204	8.7484694	8.8619893	9.2438701	9.1457187	8.5531018	8.9466095	8.5139175	8.4864201	8.683991	8.999422
ABCF2	5.9329529	4.1012653	4.0735423	5.318806	5.675609	6.0525096	5.1244568	5.1645033	8.078503	7.937949	7.976162	7.97301	7.988361	7.955581	7.905961	7.887171	8.05062	7.824007	8.00784	7.983905	7.944011	7.765608	7.797169	7.909399	7.937949	7.522341	7.885295	7.720288	7.861481	7.771709	7.498561	8.020347	8.058658	7.597216	7.811176	7.780793	7.964563	8.016539	7.724707	7.910839	7.84862	6.2245587	5.9632765	6.4141071	6.1658133	6.1745694	6.0504463	5.9175368	5.8355363	6.3280618	5.8146158	6.0123663	5.6733613
ABCF3	8.0188684	7.8861103	8.1765527	6.8072304	7.3136464	7.2725495	7.6604794	7.1900267	8.260909	8.044303	8.192912	8.045207	8.160195	7.932332	8.049231	7.855274	8.197439	8.017842	8.36404	8.070289	8.014074	8.046994	7.71704	8.262344	8.215993	7.897604	8.226419	8.018294	8.053926	7.952928	7.784658	7.982863	8.450385	8.154251	8.634012	8.288961	8.008023	8.181643	8.23874	7.822705	7.921964	8.5222017	9.4212233	9.1040621	9.2253714	9.5902601	9.3027	9.1625689	9.3994349	9.3082529	8.6380236	9.0540833	9.1958676
ABCG1	6.1495694	7.9690467	7.4073226	9.3804682	8.1688688	8.2771623	8.3972591	8.5718973	7.957973	7.890423	7.670038	7.889271	7.667424	8.009398	8.23874	7.810178	7.954085	7.847001	7.859535	7.916936	7.813144	8.038128	7.748934	7.748795	7.638115	8.275903	7.866101	8.258165	7.891486	7.96415	8.176994	7.741447	7.751478	8.41051	7.850261	8.092096	8.105729	8.175056	8.586759	7.738724	7.985346	2.4892855	3.9698882	4.4029506	2.6893156	5.0508149	4.274346	1.7426984	0.8864516	1.4590075	2.6410103	4.0213175	4.2013062
ABCG2	5.3951717	2.5584052	5.2227501	7.410991	5.7971039	7.0288277	6.772728	7.4083807	6.852717	6.894942	6.903238	6.731919	6.731919	7.102351	6.935055	6.946578	6.862776	6.802102	6.690631	6.926729	6.952132	6.892668	6.813589	6.869267	6.864432	6.985449	6.899368	6.885588	7.100076	7.077032	7.096045	6.933736	6.940188	6.797509	6.719011	6.806503	6.817335	6.931592	6.971432	6.984436	6.885588	5.8687702	5.8392571	5.4125495	5.4988927	5.2849105	5.1420937	5.0687884	5.6519693	6.0295728	6.0468131	5.3325499	5.9988531
