geneNames	GSE10500_GSM265436_Control	GSE10500_GSM265439_Control	GSE10500_GSM265445_Control	GSE10500_GSM265020_Treat	GSE10500_GSM265036_Treat	GSE10500_GSM265361_Treat	GSE10500_GSM265363_Treat	GSE10500_GSM265366_Treat	GSE15573_GSM389705_Control	GSE15573_GSM389707_Control	GSE15573_GSM389709_Control	GSE15573_GSM389710_Control	GSE15573_GSM389712_Control	GSE15573_GSM389713_Control	GSE15573_GSM389715_Control	GSE15573_GSM389718_Control	GSE15573_GSM389720_Control	GSE15573_GSM389723_Control	GSE15573_GSM389725_Control	GSE15573_GSM389728_Control	GSE15573_GSM389729_Control	GSE15573_GSM389732_Control	GSE15573_GSM389734_Control	GSE15573_GSM389703_Treat	GSE15573_GSM389704_Treat	GSE15573_GSM389706_Treat	GSE15573_GSM389708_Treat	GSE15573_GSM389711_Treat	GSE15573_GSM389714_Treat	GSE15573_GSM389716_Treat	GSE15573_GSM389717_Treat	GSE15573_GSM389719_Treat	GSE15573_GSM389721_Treat	GSE15573_GSM389722_Treat	GSE15573_GSM389724_Treat	GSE15573_GSM389726_Treat	GSE15573_GSM389727_Treat	GSE15573_GSM389730_Treat	GSE15573_GSM389731_Treat	GSE15573_GSM389733_Treat	GSE15573_GSM389735_Treat	GSE7669_GSM185531_Control	GSE7669_GSM185532_Control	GSE7669_GSM185533_Control	GSE7669_GSM185534_Control	GSE7669_GSM185535_Control	GSE7669_GSM185536_Control	GSE7669_GSM183695_Treat	GSE7669_GSM185526_Treat	GSE7669_GSM185527_Treat	GSE7669_GSM185528_Treat	GSE7669_GSM185529_Treat	GSE7669_GSM185530_Treat
EIF1	9.5247516	10.3953829	9.4573659	11.3027599	11.3642437	11.1945421	11.2182261	10.9915471	12.148104	12.120512	12.177194	12.48087	12.290024	12.177194	12.02162	12.080918	12.495591	12.418504	11.924525	12.297882	12.269901	12.158767	12.191924	11.914999	12.117226	11.992724	12.173156	12.106394	11.718616	11.690425	12.091527	12.191924	12.290024	12.057057	12.446911	11.870952	11.540973	12.980115	11.403476	12.028478	12.200309	10.2943722	10.0176042	10.1606295	10.3841653	9.4367285	9.1906375	10.3070067	10.1520607	10.010993	10.227365	9.6274044	10.4150475
EIF1AX	9.8107091	9.713802	9.7972524	10.0672343	9.5276289	9.9343564	9.9183438	9.71031	7.212996	7.343076	7.452382	7.516062	7.485987	7.833438	7.613811	7.596592	7.61994	7.341134	7.298869	7.406408	7.873915	7.244111	7.978646	7.470773	7.415401	7.288468	7.253938	7.367325	7.51405	7.829166	7.470072	7.289541	7.532229	7.357579	7.183063	7.369949	7.757728	7.50301	7.505051	8.077306	7.726664	10.4846149	10.4022262	10.2819283	9.9772358	9.9307854	10.1606295	10.2126266	9.6258008	9.7755889	9.9857178	10.2932286	9.7768999
EIF1AY	4.9622908	4.4552068	4.3851948	2.7438426	4.5437583	3.1287521	4.0888134	3.3598998	7.757166	7.175732	7.233479	7.300318	8.095271	7.323818	7.289265	8.564503	7.256174	7.229426	8.116186	7.8588	7.334174	7.183174	7.240797	7.371991	7.216263	7.33719	8.165786	7.253736	8.633308	7.345728	7.371145	8.270802	7.291878	7.312287	7.380617	7.083957	7.143073	8.396906	7.306368	7.176705	7.201659	1.1428205	4.3057122	4.0196644	4.4407837	5.0377974	5.4866153	1.3223737	6.3332432	6.7249559	2.7667745	2.1616391	3.8726148
EIF1B	9.1762615	8.9990369	8.2446317	9.0428038	8.8419823	9.1951941	8.323045	8.9082219	9.317475	9.379784	9.132748	9.571711	9.557087	10.204953	10.251805	9.876029	9.214729	9.858183	9.246181	8.15011	10.575292	8.584258	10.838625	8.7564	9.15301	10.068664	9.24112	9.78667	10.001514	9.848665	10.396839	9.636431	9.121337	9.842891	7.245589	8.945658	9.790588	10.621366	10.039388	9.924736	11.151696	8.9746628	7.6326941	8.8236186	9.9054002	7.6670545	7.868941	9.7000514	9.7588663	8.4957672	8.5730044	8.2412736	9.9748312
EIF2A	5.752684	5.6145198	5.1171317	7.3209278	7.4299713	6.9620268	7.2987776	8.036021	8.813211	9.55845	9.258389	9.254948	9.405216	9.058471	8.706052	9.705142	9.598684	9.221657	9.141881	9.655288	8.738442	8.97084	8.98373	10.194498	9.507092	8.848146	9.702795	8.766788	8.931867	9.451906	8.609877	9.141313	9.254386	8.844215	9.272688	9.756859	9.216912	8.632242	8.756815	9.929276	8.648136	5.7883615	5.6627943	5.345227	6.6007747	6.5195467	6.8620881	5.5738763	6.3306058	5.4984853	6.1110371	6.1982644	6.5539984
EIF2AK1	5.5917893	5.4584629	5.7980562	5.498911	5.8684616	5.6115249	6.1023541	5.274888	11.815947	11.892027	11.034012	11.545764	10.881512	11.618388	10.891202	10.685285	10.652507	11.618388	10.5662	10.937606	10.964208	11.996331	11.86466	10.232575	11.213284	12.598583	11.397239	11.056842	11.183137	10.692482	11.442575	11.555183	10.509022	11.533725	12.074333	10.263078	10.746886	12.128815	10.490889	10.465396	12.399084	5.8750242	6.3973357	5.6317576	5.9788033	6.5733935	5.7894209	5.9271214	5.4721562	6.3221683	6.144661	6.2051626	6.4229943
EIF2AK2	9.211842	9.0519189	8.7360875	9.4923513	10.2141959	9.4965646	9.7706045	9.6298021	9.328065	8.935891	9.013789	8.597483	9.066926	9.184407	8.788122	9.0694	9.028631	9.172371	8.973119	7.680722	9.063406	7.729311	9.1424	8.899721	8.727695	10.028494	8.945658	10.639102	9.695956	9.81534	10.004894	8.929088	9.114317	10.192476	7.493327	8.874012	9.994944	9.329786	10.264231	9.234601	9.934789	10.4538311	10.4116469	10.0733033	10.4164709	10.6447957	10.8028236	10.706843	10.1990172	10.0277523	10.1606295	10.5768019	10.126907
EIF2B1	2.2500522	1.8224201	2.1838511	2.349347	2.3739442	2.3875732	1.7230342	2.591189	9.537248	9.716228	9.544792	9.965005	9.451906	9.585831	9.495015	9.707403	9.643957	9.589134	9.477785	9.911272	9.408344	9.685684	9.639877	9.348625	9.432117	9.013789	9.626213	9.334519	9.186518	9.182814	8.746567	9.621388	9.377492	9.094663	9.615277	9.483024	9.385913	9.300256	8.864383	9.456008	9.03011	2.1107011	2.1576117	2.3487304	1.9185574	2.2996749	2.3632721	1.9817706	2.6559927	1.9817706	1.6165351	2.1996367	2.0613556
EIF2B2	8.149511	8.1286767	7.9546291	8.2690652	8.6946821	8.9903558	8.3758518	8.8173297	8.666382	8.694996	8.781332	8.626702	8.894887	8.493675	8.403519	8.623524	8.713917	8.648964	8.885092	8.571653	8.664515	7.593621	8.425516	8.781775	8.627358	7.973558	8.601746	8.437525	8.895808	8.565894	8.421815	8.770198	8.793937	8.579303	8.471338	8.484042	8.47524	8.49819	8.375999	8.728115	8.549765	9.6032835	9.7388848	9.5871761	10.5478135	10.2326806	10.1829477	9.6179691	10.11995	9.9047181	9.3547718	9.2498396	10.4422415
EIF2B4	8.0834464	7.6739986	7.5857621	7.56998	7.612118	7.4705239	7.3752793	7.6754877	9.56241	9.52439	9.379784	9.394177	8.818441	9.342091	9.443548	9.275098	9.079368	9.388662	9.373345	9.221657	9.400549	9.33519	9.656535	9.104905	9.351296	9.715448	9.303247	9.107382	9.359032	9.278521	9.275098	9.504833	9.366662	9.32332	9.041531	8.774626	9.122425	9.701942	9.068565	9.366139	9.645365	8.7221507	8.8351891	8.4834693	8.719659	9.168368	9.1757189	8.6777798	8.6857251	8.7079281	8.6795118	8.7552494	8.5139175
