Gene	Cell	cor	pvalue
F5	B cells naive	-0.028821283627901	0.882018612056996
F5	B cells memory	-0.365088168430304	0.0514871883035182
F5	Plasma cells	0.271052370871575	0.154956327629697
F5	T cells CD8	-0.621674876847291	0.000422645409078922
F5	T cells CD4 naive	-0.103154955449099	0.594382994086695
F5	T cells CD4 memory resting	-0.0639659270196534	0.741662387228592
F5	T cells CD4 memory activated	-0.293640068444207	0.122091934621774
F5	T cells follicular helper	-0.158386429812805	0.411864145264731
F5	T cells regulatory (Tregs)	-0.0512315270935961	0.791469131564404
F5	T cells gamma delta	-0.208697413400402	0.27727875568974
F5	NK cells resting	0.129556650246305	0.501365560882175
F5	NK cells activated	-0.424478496621123	0.0217283081815513
F5	Monocytes	0.175369458128079	0.361279106558344
F5	Macrophages M0	0.394581280788177	0.0350151381808042
F5	Macrophages M1	0.177020127437841	0.358286929020424
F5	Macrophages M2	-0.223060668581356	0.244786147138156
F5	Dendritic cells resting	-0.135526185435788	0.483320424562002
F5	Dendritic cells activated	-0.0842779796788344	0.66380786107436
F5	Mast cells resting	-0.156078884303353	0.418796098166297
F5	Mast cells activated	0.151605400413448	0.432417310065715
F5	Eosinophils	-0.293640068444207	0.122091934621774
F5	Neutrophils	0.467980295566502	0.011199034755225
