id	SVM	glmBoost+SVM	Ridge	Lasso+SVM	glmBoost+Ridge	Enet[alpha=0.1]	glmBoost+Enet[alpha=0.1]	Enet[alpha=0.2]	Enet[alpha=0.3]	glmBoost+Enet[alpha=0.3]	glmBoost+Enet[alpha=0.2]	Enet[alpha=0.4]	glmBoost+Enet[alpha=0.4]	Lasso+glmBoost	Enet[alpha=0.5]	glmBoost	glmBoost+Enet[alpha=0.5]	Enet[alpha=0.6]	glmBoost+Enet[alpha=0.6]	glmBoost+Enet[alpha=0.7]	glmBoost+Enet[alpha=0.8]	Enet[alpha=0.8]	Enet[alpha=0.9]	Lasso	Enet[alpha=0.7]	glmBoost+Enet[alpha=0.9]	glmBoost+Lasso	Lasso+plsRglm	glmBoost+plsRglm	glmBoost+Stepglm[forward]	Lasso+Stepglm[forward]
Train.GSE10500_GSM265436_Control	0	0	0.0695518733265145	0	0.0186606924292902	0.0493946804535625	0.00382442366210697	0.0291245455240817	0.0212679241126983	0.0131458474187342	0.00917612039841946	0.0157083566259368	0.00819693841632437	0.0110594133447711	0.0125483858236326	0.0117517316221641	0.00215318219980279	0.00568126181754299	0.0106067594829886	0.0146897614916947	0.00153962411966732	0.00359818321445121	0.0211993888304671	0.00161855517264184	0.012078777641359	0.00328561742822865	0.00715731205120545	4.4578382452409e-05	2.72622358206565e-05	2.22044604925031e-16	2.22044604925031e-16
Train.GSE10500_GSM265439_Control	0	0	0.0926760658205261	0	0.0550875611115743	0.0842972178296008	0.016843986840739	0.0674099293685318	0.0577608367324844	0.0431285079500352	0.0329281852226605	0.0470553190145383	0.0303323968217432	0.032720219767914	0.0408017987329144	0.0333163641022936	0.0107831257605035	0.0228341173564574	0.0367213601885939	0.0466265959167962	0.0081469388920097	0.0157640257549786	0.05923991530415	0.00794641061289924	0.0402721267506407	0.014348062680256	0.0251973480761907	0.00264820414992467	0.000473199744576152	2.22044604925031e-16	2.22044604925031e-16
Train.GSE10500_GSM265445_Control	0	0	0.0368778622805251	0	0.021389181557391	0.0346442544779177	0.00367595512400532	0.0250954559673158	0.0200553351704905	0.0141854535375	0.00967798069725866	0.0148230114968959	0.00794525342311623	0.0089671797278045	0.0117489070586918	0.0112785906565141	0.00153507113875791	0.00453468423845882	0.00971104602075632	0.0135693098735838	0.000795706298791543	0.00215864185012485	0.0195214984639287	0.000808999015518442	0.01059960938319	0.00189887168840465	0.00496771111324738	4.19778855605005e-05	5.2464437413769e-05	2.22044604925031e-16	2.22044604925031e-16
Train.GSE10500_GSM265020_Treat	1	1	0.758314627085039	1	0.764044469662036	0.733756407777207	0.800768487075294	0.735301735338953	0.739214869002426	0.760168299598978	0.774869159239783	0.749493352117452	0.775557305159047	0.714300257565734	0.75890116766873	0.690081858280837	0.819850648259129	0.792860415748385	0.768023060810818	0.75618247865495	0.841563441870594	0.818221197744725	0.740626923016128	0.828666702593313	0.765880449331725	0.814014925379868	0.781024060067118	0.981984696062002	0.965106839418037	1	0.999999999999903
Train.GSE10500_GSM265036_Treat	1	1	0.982154795397403	1	0.994862506685162	0.986091813666107	0.999292765199732	0.991734591237298	0.993951837968781	0.996176616907263	0.997710200403079	0.995506711654823	0.997824753611262	0.992823517505658	0.996248127751189	0.992654271899778	0.999594916920546	0.998503842523759	0.99664101457228	0.99459166570222	0.999687401358973	0.999075407957981	0.990507894916104	0.999681747083514	0.995805710141555	0.999188192929869	0.997830393282325	0.999985964479001	0.999998997893964	1	1
Train.GSE10500_GSM265361_Treat	1	1	0.981844824644634	1	0.993601683278403	0.984804989852661	0.999113028732495	0.990426479407957	0.992736598241619	0.995391133002965	0.997184645055869	0.994605676966351	0.997402310885908	0.992428394174193	0.995589318575784	0.992349613945606	0.999521009432393	0.998271545771257	0.99614195869982	0.99394073513634	0.999641142043565	0.998955489249809	0.990019777257914	0.9996298139086	0.995288651716563	0.999066817166098	0.997632201025713	0.999973459751639	0.999997645493796	1	1
Train.GSE10500_GSM265363_Treat	1	1	0.858734131989606	1	0.896486965919072	0.872063976042857	0.951858353195283	0.888802103563758	0.896128549148084	0.913796515531693	0.92674583432567	0.90957511199783	0.932193094872008	0.908911006458846	0.918987947414831	0.896579102257395	0.965546139773193	0.945702801287736	0.926209051624268	0.915978922213796	0.973787621906352	0.96021985834504	0.904164494641699	0.975574175293005	0.923781335123409	0.963890772861579	0.946390965627582	0.994510614691333	0.994359770602478	1	1
Train.GSE10500_GSM265366_Treat	1	1	0.806535129005935	1	0.789353784277555	0.802198993022568	0.855382388437229	0.804565410135981	0.805476058741599	0.821093615883814	0.830125647850408	0.81835742624158	0.840633280020648	0.82727810426787	0.829690124301575	0.829922548264186	0.876439039016327	0.8552597873702	0.838402352682829	0.831347670611196	0.886263782419911	0.868926501619398	0.827157576134479	0.891586208618098	0.837036481606537	0.874675937401249	0.86143950790601	0.872027990291915	0.95158686653094	1	1
Train.GSE15573_GSM389705_Control	0	0	0.049153430905955	0	0.0242364699923184	0.0399439851206676	0.0059828059122004	0.0273419956273023	0.0229921261320737	0.0189010363339618	0.0133977396138742	0.0191041178049621	0.0123372094814178	0.016205648342132	0.0169852713689778	0.0184446731062894	0.00352661908188965	0.0087075267062641	0.0157861636592605	0.0214907744321193	0.00235913176839499	0.00533923711496834	0.0311301929785015	0.00240670444037926	0.017774824640651	0.00478331130641694	0.0106178421320426	7.31601904750614e-05	3.45267740134108e-05	2.22044604925031e-16	2.22044604925031e-16
Train.GSE15573_GSM389707_Control	0	0	0.0773873135394059	0	0.0524117159069233	0.0670956036026757	0.0187083084171293	0.0554298227267891	0.0522286986889937	0.0474887128893266	0.0355597048952942	0.0485282012161139	0.0361633046519729	0.0551562932376972	0.0472685368748997	0.0549244224501111	0.0149800945009764	0.0311727079619914	0.0478536790184804	0.0631664229262174	0.0137164221492418	0.025210205874831	0.0903054033610024	0.0145585623031333	0.0553661354835978	0.0239664501090634	0.0429209767111584	0.00121625364198275	0.000255459711456694	2.22044604925031e-16	2.22044604925031e-16
Train.GSE15573_GSM389709_Control	0	0	0.405809524110717	0	0.311411193295269	0.381907102808107	0.23116300371114	0.350101912404488	0.332064470615825	0.299233690894862	0.277574926505486	0.314416084089921	0.274138729415496	0.279513166988976	0.301316167620427	0.290729242273577	0.20462549500168	0.254992524132246	0.291411561824458	0.312869327600162	0.187932397227808	0.229702234977882	0.343975801208991	0.193873841422426	0.300390238129543	0.22662554489147	0.27715185264988	0.0630908896227925	0.0933615556325749	2.22044604925031e-16	2.22044604925031e-16
Train.GSE15573_GSM389710_Control	0	0	0.0239058134090141	0	0.0106366833116529	0.0208846324497542	0.00212101670122618	0.0150421428481844	0.0127447273795728	0.00883725045967885	0.00566485152549807	0.0104037496188261	0.00574856999454125	0.0124929022395206	0.00927098767579574	0.0113561715327579	0.00152245312026958	0.00459802536643376	0.00881662462278619	0.0135255706921097	0.00143142038000207	0.00348788956238765	0.0228179663069696	0.00157159861247066	0.01105719521383	0.00327218244140645	0.00728191076837113	2.06418532640518e-05	2.4038707694515e-06	2.22044604925031e-16	2.22044604925031e-16
Train.GSE15573_GSM389712_Control	0	0	0.239342623109886	0	0.228946455634734	0.228088968014243	0.131760282234114	0.199838616738859	0.185303891843014	0.189293657969626	0.173217474146919	0.172329886374703	0.156916564522634	0.124456599999595	0.164355725252049	0.130121391152801	0.094488016248335	0.128361862223677	0.159021430844595	0.169664624908673	0.0725434910798643	0.0987606017000987	0.173683969323741	0.0666462321276975	0.158960003802633	0.0907120137822471	0.114750433712634	0.0477994029931685	0.0377572564816337	2.22044604925031e-16	2.22044604925031e-16
