"ID","Symbol","PP.H0","PP.H1","PP.H2","PP.H3","PP.H4"
"eqtl-a-ENSG00000038427","VCAN",3.79283894306177e-07,0.962474985569072,9.20579440079558e-09,0.0233465471353924,0.0141780788058476
"eqtl-a-ENSG00000112299","VNN1",0,0.809609137778759,0,0.130806939639622,0.059583922582002
"eqtl-a-ENSG00000115604","IL18R1",0,0.949153263899971,0,0.0357800950164283,0.0150666410835657
"eqtl-a-ENSG00000124107","SLPI",2.85096463906556e-79,0.97242464745605,4.94207534564877e-81,0.0168460068264603,0.0107293457174871
"eqtl-a-ENSG00000137331","IER3",1.28914989388269e-256,9.14798148056025e-35,1.40921786584517e-222,1,1.36868616176528e-27
"eqtl-a-ENSG00000163220","S100A9",7.01245254752058e-194,0.954985599408909,1.39196134780745e-195,0.0189302372246477,0.0260841633664515
"eqtl-a-ENSG00000163568","AIM2",3.58633839715224e-117,0.368100416487452,2.76083642278597e-118,0.0277329539803966,0.604166629532161
"eqtl-a-ENSG00000169385","RNASE2",0,0.950726938467527,0,0.0420400747033966,0.0072329868291365
"eqtl-a-ENSG00000182578","CSF1R",7.24355999962306e-210,0.935972187164303,4.41410222084562e-211,0.0570295543513734,0.00699825848431442
"eqtl-a-ENSG00000198734","F5",0,0.956264449720143,0,0.0375515764136395,0.00618397386600742
